---,X,Y,Z,T
0,0.000,0.000,0.000,0.1
1,0.000,0.000,345.139,0.1
2,0.000,0.000,342.310,0.1
3,0.000,0.000,339.346,0.1
4,0.000,0.000,337.013,0.1
5,0.000,0.000,333.612,0.1
6,0.000,0.000,330.781,0.1
7,0.000,0.000,326.455,0.1
8,0.000,0.000,321.767,0.1
9,0.000,0.000,317.265,0.1
10,0.000,0.000,311.558,0.1
11,0.000,0.000,306.713,0.1
12,0.000,0.000,304.304,0.1
13,0.000,0.000,303.157,0.1
14,0.000,0.000,302.712,0.1
15,0.000,0.000,302.735,0.1
16,-0.005,0.000,298.581,0.1
17,-0.060,-0.122,294.651,0.1
18,-0.120,-0.319,289.922,0.1
19,-0.162,-0.526,283.882,0.1
20,-0.167,-0.645,277.522,0.1
21,-0.169,-0.649,272.096,0.1
22,-0.170,-0.652,267.485,0.1
23,-0.172,-0.655,263.164,0.1
24,-0.172,-0.657,259.455,0.1
25,-0.172,-0.657,260.095,0.1
26,-0.001,-0.693,260.620,0.1
27,0.211,-0.752,260.887,0.1
28,0.395,-0.830,261.235,0.1
29,0.557,-0.980,261.521,0.1
30,0.601,-1.175,260.817,0.1
31,0.597,-1.399,252.905,0.1
32,0.564,-1.619,244.354,0.1
33,0.541,-1.821,236.763,0.1
34,0.532,-2.024,229.802,0.1
35,0.514,-2.258,222.849,0.1
36,0.488,-2.469,221.544,0.1
37,0.464,-2.669,219.129,0.1
38,0.439,-2.868,216.991,0.1
39,0.393,-3.088,210.651,0.1
40,0.352,-3.292,205.784,0.1
41,0.303,-3.491,201.129,0.1
42,0.259,-3.705,199.764,0.1
43,0.215,-3.903,200.682,0.1
44,0.166,-4.117,200.636,0.1
45,0.122,-4.313,200.160,0.1
46,0.076,-4.532,199.653,0.1
47,0.034,-4.748,198.887,0.1
48,0.021,-4.950,195.289,0.1
49,0.079,-5.147,189.085,0.1
50,0.154,-5.318,187.414,0.1
51,0.154,-5.318,183.295,0.1
52,0.154,-5.318,182.015,0.1
53,0.154,-5.318,180.487,0.1
54,0.154,-5.318,178.819,0.1
55,0.154,-5.318,176.680,0.1
56,0.154,-5.318,175.721,0.1
57,0.154,-5.318,174.796,0.1
58,0.154,-5.318,174.606,0.1
59,0.154,-5.318,173.657,0.1
60,0.154,-5.318,171.325,0.1
61,0.154,-5.318,167.177,0.1
62,0.154,-5.318,163.809,0.1
63,0.154,-5.318,162.212,0.1
64,0.154,-5.318,161.170,0.1
65,0.154,-5.318,160.673,0.1
66,0.154,-5.317,159.478,0.1
67,0.156,-5.314,158.264,0.1
68,0.156,-5.314,158.000,0.1
69,0.156,-5.314,158.545,0.1
70,0.156,-5.314,159.178,0.1
71,0.156,-5.314,160.117,0.1
72,0.156,-5.314,160.240,0.1
73,0.156,-5.314,160.179,0.1
74,0.156,-5.314,161.463,0.1
75,0.156,-5.314,162.708,0.1
76,0.156,-5.314,163.771,0.1
77,0.156,-5.314,165.401,0.1
78,0.156,-5.314,167.484,0.1
79,0.159,-5.330,168.174,0.1
80,0.247,-5.492,169.974,0.1
81,0.357,-5.684,171.098,0.1
82,0.446,-5.843,173.589,0.1
83,0.446,-5.843,177.606,0.1
84,0.446,-5.843,179.593,0.1
85,0.446,-5.843,182.694,0.1
86,0.446,-5.843,187.434,0.1
87,0.446,-5.843,192.477,0.1
88,0.477,-5.989,195.172,0.1
89,0.481,-6.189,196.901,0.1
90,0.464,-6.409,198.420,0.1
91,0.411,-6.603,199.111,0.1
92,0.336,-6.812,200.599,0.1
93,0.252,-7.018,203.196,0.1
94,0.161,-7.221,204.937,0.1
95,0.069,-7.421,204.539,0.1
96,-0.004,-7.610,202.715,0.1
97,-0.073,-7.819,199.521,0.1
98,-0.136,-8.035,194.397,0.1
99,-0.188,-8.279,187.688,0.1
100,-0.211,-8.517,182.677,0.1
101,-0.210,-8.738,182.588,0.1
102,-0.210,-8.961,183.359,0.1
103,-0.216,-9.169,185.136,0.1
104,-0.227,-9.370,186.905,0.1
105,-0.247,-9.592,189.264,0.1
106,-0.278,-9.811,192.255,0.1
107,-0.322,-10.028,195.474,0.1
108,-0.371,-10.224,197.922,0.1
109,-0.434,-10.437,199.752,0.1
110,-0.498,-10.649,199.411,0.1
111,-0.531,-10.868,197.916,0.1
112,-0.544,-11.068,196.905,0.1
113,-0.554,-11.290,196.184,0.1
114,-0.562,-11.513,195.630,0.1
115,-0.569,-11.732,195.520,0.1
116,-0.575,-11.933,195.880,0.1
117,-0.584,-12.155,196.281,0.1
118,-0.596,-12.378,197.637,0.1
119,-0.617,-12.598,201.043,0.1
120,-0.649,-12.796,203.986,0.1
121,-0.691,-13.015,205.432,0.1
122,-0.738,-13.230,206.432,0.1
123,-0.780,-13.426,206.006,0.1
124,-0.790,-13.627,206.094,0.1
125,-0.777,-13.852,206.295,0.1
126,-0.763,-14.069,206.514,0.1
127,-0.750,-14.270,206.512,0.1
128,-0.738,-14.470,206.545,0.1
129,-0.724,-14.691,206.449,0.1
130,-0.714,-14.892,206.410,0.1
131,-0.720,-15.112,206.732,0.1
132,-0.742,-15.312,206.847,0.1
133,-0.768,-15.531,207.073,0.1
134,-0.792,-15.732,207.184,0.1
135,-0.820,-15.951,207.344,0.1
136,-0.857,-16.170,207.635,0.1
137,-0.924,-16.356,207.950,0.1
138,-0.945,-16.395,208.382,0.1
139,-0.947,-16.398,208.694,0.1
140,-0.947,-16.398,208.931,0.1
141,-0.947,-16.398,209.133,0.1
142,-0.947,-16.398,208.699,0.1
143,-0.947,-16.398,208.418,0.1
144,-0.947,-16.398,208.415,0.1
145,-0.947,-16.398,208.184,0.1
146,-0.947,-16.398,207.640,0.1
147,-0.947,-16.398,207.464,0.1
148,-0.947,-16.398,207.248,0.1
149,-0.947,-16.398,207.199,0.1
150,-0.947,-16.398,207.257,0.1
151,-0.917,-16.332,207.273,0.1
152,-0.843,-16.128,207.119,0.1
153,-0.776,-15.916,207.145,0.1
154,-0.709,-15.705,207.163,0.1
155,-0.648,-15.513,207.082,0.1
156,-0.583,-15.301,206.873,0.1
157,-0.529,-15.084,206.591,0.1
158,-0.499,-14.875,206.340,0.1
159,-0.484,-14.667,206.226,0.1
160,-0.478,-14.466,206.085,0.1
161,-0.503,-14.246,205.180,0.1
162,-0.593,-14.069,203.817,0.1
163,-0.683,-13.968,202.552,0.1
164,-0.683,-13.968,201.726,0.1
165,-0.683,-13.968,201.092,0.1
166,-0.683,-13.968,201.021,0.1
167,-0.723,-13.872,201.237,0.1
168,-0.841,-13.711,201.775,0.1
169,-0.991,-13.550,201.943,0.1
170,-1.155,-13.433,202.037,0.1
171,-1.332,-13.340,202.321,0.1
172,-1.535,-13.256,202.561,0.1
173,-1.728,-13.198,202.525,0.1
174,-1.930,-13.148,202.501,0.1
175,-2.130,-13.100,202.445,0.1
176,-2.148,-13.098,202.128,0.1
177,-2.148,-13.098,201.389,0.1
178,-1.993,-13.162,200.837,0.1
179,-1.802,-13.273,200.189,0.1
180,-1.645,-13.429,199.657,0.1
181,-1.519,-13.612,199.431,0.1
182,-1.433,-13.793,199.616,0.1
