---,X,Y,Z,T
183,-1.394,-13.997,200.209,0.1
184,-1.411,-14.182,200.690,0.1
185,-1.442,-14.340,201.001,0.1
186,-1.480,-14.517,201.855,0.1
187,-1.520,-14.692,201.974,0.1
188,-1.554,-14.871,201.869,0.1
189,-1.530,-15.078,201.928,0.1
190,-1.493,-15.276,201.935,0.1
191,-1.456,-15.473,201.971,0.1
192,-1.420,-15.671,202.230,0.1
193,-1.381,-15.889,202.556,0.1
194,-1.348,-16.086,202.801,0.1
195,-1.313,-16.298,203.429,0.1
196,-1.283,-16.498,204.020,0.1
197,-1.251,-16.716,204.633,0.1
198,-1.225,-16.915,205.262,0.1
199,-1.200,-17.130,206.332,0.1
200,-1.179,-17.342,207.483,0.1
201,-1.162,-17.562,208.506,0.1
202,-1.150,-17.762,209.293,0.1
203,-1.140,-17.964,209.986,0.1
204,-1.132,-18.184,210.686,0.1
205,-1.126,-18.396,213.217,0.1
206,-1.131,-18.585,220.623,0.1
207,-1.162,-18.753,227.358,0.1
208,-1.251,-18.914,235.945,0.1
209,-1.334,-18.966,244.738,0.1
210,-1.333,-18.953,252.567,0.1
211,-1.325,-18.938,258.702,0.1
212,-1.458,-18.942,264.927,0.1
213,-1.658,-18.961,264.628,0.1
214,-1.857,-18.980,264.342,0.1
215,-2.056,-19.000,264.374,0.1
216,-2.256,-19.020,264.185,0.1
217,-2.474,-19.042,264.242,0.1
218,-2.646,-19.039,269.797,0.1
219,-2.828,-19.025,272.549,0.1
220,-3.047,-19.018,271.351,0.1
221,-3.249,-19.015,270.503,0.1
222,-3.471,-19.016,269.447,0.1
223,-3.671,-19.019,268.801,0.1
224,-3.871,-19.024,268.310,0.1
225,-4.072,-19.031,267.899,0.1
226,-4.267,-19.024,272.711,0.1
227,-4.462,-19.000,276.446,0.1
228,-4.663,-18.979,275.444,0.1
229,-4.883,-18.961,274.207,0.1
230,-5.084,-18.947,273.732,0.1
231,-5.305,-18.933,273.509,0.1
232,-5.519,-18.921,273.038,0.1
233,-5.578,-18.918,272.899,0.1
234,-5.522,-18.921,273.079,0.1
235,-5.308,-18.934,275.814,0.1
236,-5.072,-18.968,282.281,0.1
237,-4.852,-18.969,286.459,0.1
238,-4.635,-18.923,286.776,0.1
239,-4.424,-18.850,287.153,0.1
240,-4.230,-18.746,287.508,0.1
241,-4.047,-18.620,288.257,0.1
242,-3.855,-18.517,293.587,0.1
243,-3.619,-18.435,301.201,0.1
244,-3.406,-18.363,303.453,0.1
245,-3.218,-18.293,305.145,0.1
246,-3.031,-18.218,305.941,0.1
247,-2.832,-18.124,306.702,0.1
248,-2.636,-18.019,307.819,0.1
249,-2.468,-17.910,308.441,0.1
250,-2.305,-17.793,308.516,0.1
251,-2.263,-17.754,308.283,0.1
252,-2.280,-17.748,304.349,0.1
253,-2.246,-17.726,297.414,0.1
254,-2.031,-17.710,295.160,0.1
255,-1.832,-17.689,294.330,0.1
256,-1.707,-17.601,289.082,0.1
257,-1.656,-17.436,281.581,0.1
258,-1.659,-17.246,275.587,0.1
259,-1.642,-17.045,273.624,0.1
260,-1.642,-17.045,271.688,0.1
261,-1.656,-17.045,269.482,0.1
262,-1.771,-17.112,267.984,0.1
263,-1.941,-17.211,266.738,0.1
264,-2.096,-17.273,265.728,0.1
265,-2.096,-17.276,264.744,0.1
266,-2.107,-17.249,265.314,0.1
267,-2.125,-17.046,266.109,0.1
268,-2.125,-16.843,266.627,0.1
269,-2.102,-16.682,267.002,0.1
270,-2.101,-16.644,267.075,0.1
271,-2.101,-16.644,267.120,0.1
272,-2.101,-16.644,267.036,0.1
273,-2.115,-16.555,261.398,0.1
274,-2.257,-16.396,249.851,0.1
275,-2.339,-16.290,235.746,0.1
276,-2.384,-16.223,221.539,0.1
277,-2.426,-16.159,210.795,0.1
278,-2.461,-16.168,202.280,0.1
279,-2.494,-16.197,194.830,0.1
280,-2.515,-16.218,190.829,0.1
281,-2.515,-16.218,191.316,0.1
282,-2.515,-16.218,192.528,0.1
283,-2.402,-16.247,195.160,0.1
284,-2.193,-16.210,204.388,0.1
285,-2.064,-16.016,219.851,0.1
286,-2.002,-15.864,235.681,0.1
287,-1.971,-15.847,253.368,0.1
288,-1.941,-15.834,273.443,0.1
289,-1.914,-15.826,292.376,0.1
290,-1.887,-15.819,306.797,0.1
291,-1.810,-15.651,315.989,0.1
292,-1.700,-15.464,323.682,0.1
293,-1.568,-15.271,331.069,0.1
294,-1.472,-15.062,337.814,0.1
295,-1.376,-14.859,341.239,0.1
296,-1.295,-14.650,341.446,0.1
297,-1.214,-14.444,341.827,0.1
298,-1.130,-14.238,342.207,0.1
299,-1.046,-14.032,342.448,0.1
300,-0.962,-13.828,342.370,0.1
301,-0.896,-13.639,340.824,0.1
302,-0.924,-13.591,329.193,0.1
303,-1.022,-13.731,310.045,0.1
304,-1.073,-13.947,287.993,0.1
305,-1.059,-14.163,268.864,0.1
306,-1.061,-14.385,255.446,0.1
307,-1.056,-14.611,244.669,0.1
308,-1.057,-14.826,235.379,0.1
309,-1.047,-15.059,227.269,0.1
310,-1.037,-15.277,220.293,0.1
311,-1.041,-15.528,212.378,0.1
312,-1.036,-15.760,206.015,0.1
313,-0.986,-15.983,205.179,0.1
314,-0.936,-16.178,205.000,0.1
315,-0.877,-16.401,205.065,0.1
316,-0.824,-16.605,205.397,0.1
317,-0.771,-16.822,206.297,0.1
318,-0.723,-17.037,207.128,0.1
319,-0.680,-17.235,207.804,0.1
320,-0.636,-17.451,208.491,0.1
321,-0.594,-17.670,209.034,0.1
322,-0.541,-17.846,213.725,0.1
323,-0.495,-18.032,221.105,0.1
324,-0.470,-18.206,225.573,0.1
325,-0.479,-18.399,225.151,0.1
326,-0.498,-18.606,224.476,0.1
327,-0.500,-18.812,225.890,0.1
328,-0.491,-18.992,233.093,0.1
329,-0.499,-19.188,238.751,0.1
330,-0.538,-19.377,240.896,0.1
331,-0.586,-19.592,242.372,0.1
332,-0.591,-19.806,248.971,0.1
333,-0.579,-20.001,256.702,0.1
334,-0.586,-20.201,259.321,0.1
335,-0.582,-20.422,260.262,0.1
336,-0.553,-20.648,266.379,0.1
337,-0.545,-20.871,273.767,0.1
338,-0.591,-21.067,275.093,0.1
339,-0.647,-21.282,276.605,0.1
340,-0.687,-21.499,281.416,0.1
341,-0.727,-21.696,288.294,0.1
342,-0.809,-21.901,291.679,0.1
343,-0.889,-22.085,292.473,0.1
344,-0.968,-22.271,293.504,0.1
345,-1.058,-22.471,294.495,0.1
346,-1.142,-22.653,295.224,0.1
347,-1.228,-22.834,295.593,0.1
348,-1.293,-23.025,300.390,0.1
349,-1.377,-23.233,307.165,0.1
350,-1.512,-23.411,308.246,0.1
351,-1.653,-23.582,310.876,0.1
352,-1.701,-23.636,314.865,0.1
353,-1.674,-23.657,323.726,0.1
354,-1.711,-23.859,333.114,0.1
355,-1.792,-24.050,338.346,0.1
356,-1.841,-24.131,340.483,0.1
357,-1.841,-24.131,341.740,0.1
358,-1.841,-24.131,343.221,0.1
359,-1.841,-24.131,344.367,0.1
360,-1.841,-24.131,345.103,0.1
361,-1.957,-24.203,346.417,0.1
362,-1.959,-24.318,347.487,0.1
363,-1.960,-24.405,348.227,0.1
364,-1.962,-24.443,349.083,0.1
365,-1.963,-24.444,349.861,0.1
366,-1.958,-24.438,350.422,0.1
367,-1.845,-24.308,350.759,0.1
368,-1.712,-24.157,350.931,0.1
369,-1.570,-23.989,350.712,0.1
370,-1.460,-23.820,349.855,0.1
371,-1.382,-23.615,348.376,0.1
372,-1.325,-23.422,346.256,0.1
373,-1.277,-23.227,343.036,0.1
374,-1.246,-23.009,335.291,0.1
375,-1.241,-22.807,328.932,0.1
376,-1.246,-22.605,325.229,0.1
377,-1.258,-22.390,323.015,0.1
378,-1.261,-22.168,319.133,0.1
379,-1.265,-21.966,315.209,0.1
380,-1.284,-21.767,311.184,0.1
381,-1.308,-21.568,310.170,0.1
382,-1.330,-21.362,308.282,0.1
383,-1.361,-21.149,305.915,0.1
384,-1.393,-20.931,303.749,0.1
385,-1.408,-20.729,302.567,0.1
386,-1.367,-20.513,302.793,0.1
387,-1.308,-20.300,302.875,0.1
388,-1.249,-20.085,302.477,0.1
389,-1.197,-19.891,301.506,0.1
390,-1.143,-19.676,300.143,0.1
391,-1.096,-19.482,299.900,0.1
392,-1.045,-19.265,298.757,0.1
393,-1.007,-19.069,296.551,0.1
394,-0.975,-18.869,295.160,0.1
395,-0.943,-18.651,294.354,0.1
396,-0.914,-18.431,294.213,0.1
397,-0.887,-18.232,293.876,0.1
398,-0.861,-18.030,293.684,0.1
399,-0.869,-17.784,288.634,0.1
400,-0.874,-17.556,283.036,0.1
401,-0.833,-17.334,282.838,0.1
402,-0.780,-17.107,283.141,0.1
403,-0.733,-16.903,283.230,0.1
404,-0.685,-16.707,284.217,0.1
405,-0.620,-16.525,289.193,0.1
406,-0.569,-16.340,299.616,0.1
407,-0.549,-16.173,309.856,0.1
408,-0.527,-16.004,318.814,0.1
409,-0.524,-15.783,321.740,0.1
410,-0.531,-15.561,324.734,0.1
411,-0.515,-15.377,333.624,0.1
412,-0.478,-15.196,342.191,0.1
413,-0.439,-14.999,344.718,0.1
414,-0.398,-14.792,345.691,0.1
415,-0.352,-14.575,346.203,0.1
416,-0.293,-14.413,351.507,0.1
417,-0.228,-14.236,356.836,0.1
418,-0.195,-14.039,356.873,0.1
419,-0.176,-13.818,356.524,0.1
420,-0.167,-13.616,355.897,0.1
421,-0.163,-13.395,354.566,0.1
422,-0.166,-13.174,352.908,0.1
423,-0.173,-12.973,351.658,0.1
424,-0.184,-12.771,350.958,0.1
425,-0.198,-12.551,350.254,0.1
426,-0.214,-12.331,349.493,0.1
427,-0.235,-12.131,349.034,0.1
428,-0.277,-11.913,348.907,0.1
429,-0.316,-11.717,348.789,0.1
430,-0.360,-11.500,348.218,0.1
431,-0.403,-11.302,347.651,0.1
432,-0.446,-11.106,347.237,0.1
433,-0.495,-10.893,347.032,0.1
434,-0.540,-10.697,347.006,0.1
435,-0.590,-10.481,346.977,0.1
436,-0.656,-10.268,346.995,0.1
437,-0.729,-10.058,346.980,0.1
438,-0.800,-9.847,347.118,0.1
439,-0.872,-9.638,347.290,0.1
440,-0.937,-9.448,347.759,0.1
441,-0.999,-9.257,348.630,0.1
442,-1.048,-9.060,349.777,0.1
443,-1.084,-8.844,350.832,0.1
444,-1.118,-8.627,351.547,0.1
445,-1.146,-8.429,352.061,0.1
446,-1.177,-8.209,352.323,0.1
447,-1.206,-7.988,352.221,0.1
448,-1.234,-7.789,352.087,0.1
449,-1.265,-7.568,351.905,0.1
450,-1.297,-7.349,351.717,0.1
451,-1.329,-7.129,351.681,0.1
452,-1.361,-6.910,351.771,0.1
453,-1.389,-6.710,351.905,0.1
454,-1.420,-6.490,352.030,0.1
455,-1.450,-6.272,352.227,0.1
456,-1.477,-6.074,352.308,0.1
457,-1.504,-5.875,352.331,0.1
458,-1.534,-5.654,352.314,0.1
459,-1.564,-5.434,352.348,0.1
460,-1.593,-5.215,352.376,0.1
461,-1.619,-5.011,352.497,0.1
462,-1.628,-4.794,352.646,0.1
463,-1.622,-4.572,352.762,0.1
464,-1.608,-4.371,352.814,0.1
465,-1.587,-4.150,352.793,0.1
466,-1.567,-3.930,352.629,0.1
467,-1.547,-3.709,352.489,0.1
468,-1.515,-3.509,352.404,0.1
469,-1.475,-3.293,352.057,0.1
470,-1.424,-3.083,349.431,0.1
471,-1.376,-2.824,342.570,0.1
472,-1.348,-2.563,335.751,0.1
473,-1.350,-2.311,328.929,0.1
474,-1.364,-2.080,325.030,0.1
475,-1.373,-1.862,323.715,0.1
476,-1.409,-1.623,319.662,0.1
477,-1.494,-1.395,312.931,0.1
478,-1.608,-1.174,306.376,0.1
479,-1.711,-0.988,305.593,0.1
480,-1.838,-0.805,304.458,0.1
481,-1.998,-0.632,301.426,0.1
482,-2.222,-0.480,294.138,0.1
483,-2.428,-0.396,290.841,0.1
484,-2.645,-0.420,290.449,0.1
485,-2.857,-0.492,289.956,0.1
486,-3.074,-0.553,284.988,0.1
487,-3.316,-0.648,278.645,0.1
488,-3.514,-0.774,278.005,0.1
489,-3.689,-0.891,278.007,0.1
490,-3.855,-1.004,278.119,0.1
491,-4.027,-1.149,278.173,0.1
492,-4.185,-1.299,278.023,0.1
493,-4.330,-1.438,277.939,0.1
494,-4.480,-1.579,277.935,0.1
495,-4.568,-1.620,277.949,0.1
496,-4.568,-1.620,277.931,0.1
497,-4.568,-1.620,277.916,0.1
498,-4.568,-1.620,278.088,0.1
499,-4.568,-1.620,278.247,0.1
500,-4.583,-1.722,278.255,0.1
501,-4.612,-1.810,278.257,0.1
502,-4.636,-1.810,278.324,0.1
503,-4.636,-1.810,278.668,0.1
504,-4.636,-1.810,279.248,0.1
505,-4.684,-1.694,279.711,0.1
506,-4.766,-1.487,280.544,0.1
507,-4.857,-1.285,281.475,0.1
508,-4.987,-1.132,282.557,0.1
509,-5.159,-0.993,283.654,0.1
510,-5.343,-0.869,284.525,0.1
511,-5.515,-0.766,284.990,0.1
512,-5.717,-0.672,284.664,0.1
513,-5.922,-0.590,284.270,0.1
514,-6.110,-0.517,283.504,0.1
515,-6.298,-0.447,282.633,0.1
516,-6.503,-0.374,282.068,0.1
517,-6.694,-0.307,282.043,0.1
518,-6.903,-0.233,281.927,0.1
519,-7.094,-0.170,281.906,0.1
520,-7.289,-0.128,281.915,0.1
521,-7.506,-0.082,282.018,0.1
