---,X,Y,Z,T
0,0.000,0.000,0.000,0.1
1,0.000,0.000,0.000,0.1
2,0.000,0.000,0.000,0.1
3,0.000,0.000,0.000,0.1
4,0.000,0.000,0.000,0.1
5,0.000,0.000,0.000,0.1
6,0.000,0.000,0.000,0.1
7,0.000,0.000,0.000,0.1
8,0.000,0.000,0.000,0.1
9,0.000,0.000,0.000,0.1
10,0.000,0.000,0.000,0.1
11,0.000,0.000,0.000,0.1
12,0.000,0.000,0.000,0.1
13,0.000,0.000,0.000,0.1
14,0.000,0.000,0.000,0.1
15,0.000,0.000,0.000,0.1
16,0.000,0.000,0.000,0.1
17,0.000,0.000,0.000,0.1
18,0.000,0.000,0.000,0.1
19,0.000,0.000,0.000,0.1
20,0.000,0.000,0.000,0.1
21,0.000,0.000,0.000,0.1
22,0.000,0.000,0.000,0.1
23,0.000,0.000,0.000,0.1
24,0.000,0.000,0.000,0.1
25,0.000,0.000,0.000,0.1
26,0.000,0.000,0.000,0.1
27,0.000,0.000,0.000,0.1
28,0.000,0.000,0.000,0.1
29,0.000,0.000,0.000,0.1
30,0.000,0.000,0.000,0.1
31,0.000,0.000,0.000,0.1
32,0.000,0.000,0.000,0.1
33,0.000,0.000,0.000,0.1
34,0.000,0.000,0.000,0.1
35,0.000,0.000,0.000,0.1
36,0.000,0.000,0.000,0.1
37,0.000,0.000,0.000,0.1
38,0.000,0.000,0.000,0.1
39,0.000,0.000,0.000,0.1
40,0.000,0.000,0.000,0.1
41,0.000,0.000,0.000,0.1
42,0.000,0.000,0.000,0.1
43,0.000,0.000,0.000,0.1
44,0.000,0.000,0.000,0.1
45,0.000,0.000,0.000,0.1
46,0.000,0.000,0.000,0.1
47,0.000,0.000,0.000,0.1
48,0.000,0.000,0.000,0.1
49,0.000,0.000,0.000,0.1
50,0.000,0.000,0.000,0.1
51,0.000,0.000,0.000,0.1
52,0.000,0.000,0.000,0.1
53,0.000,0.000,0.000,0.1
54,0.000,0.000,0.000,0.1
55,0.000,0.000,0.000,0.1
56,0.000,0.000,0.000,0.1
57,0.000,0.000,0.000,0.1
58,0.000,0.000,0.000,0.1
59,0.000,0.000,0.000,0.1
60,0.000,0.000,0.000,0.1
61,0.000,0.000,0.000,0.1
62,0.000,0.000,0.000,0.1
63,0.000,0.000,0.000,0.1
64,0.000,0.000,0.000,0.1
65,0.000,0.000,0.000,0.1
66,0.000,0.000,0.000,0.1
67,0.000,0.000,0.000,0.1
68,0.000,0.000,0.000,0.1
69,0.000,0.000,0.000,0.1
70,0.000,0.000,0.000,0.1
71,0.000,0.000,0.000,0.1
72,0.000,0.000,0.000,0.1
73,0.000,0.000,0.000,0.1
74,0.000,0.000,0.000,0.1
75,0.000,0.000,0.000,0.1
76,0.000,0.000,0.000,0.1
77,0.000,0.000,0.000,0.1
78,0.000,0.000,0.000,0.1
79,0.000,0.000,0.000,0.1
80,0.000,0.000,0.000,0.1
81,0.000,0.000,0.000,0.1
82,0.000,0.000,0.000,0.1
83,0.000,0.000,0.000,0.1
84,0.000,0.000,0.000,0.1
85,0.000,0.000,0.000,0.1
86,0.000,0.000,0.000,0.1
87,0.000,0.000,0.000,0.1
88,0.000,0.000,0.000,0.1
89,0.000,0.000,0.000,0.1
90,0.000,0.000,0.000,0.1
91,0.000,0.000,0.000,0.1
92,0.000,0.000,0.000,0.1
93,0.000,0.000,0.000,0.1
94,0.000,0.000,0.000,0.1
95,0.000,0.000,0.000,0.1
96,0.000,0.000,0.000,0.1
97,0.000,0.000,0.000,0.1
98,0.000,0.000,0.000,0.1
99,0.000,0.000,0.000,0.1
100,0.000,0.000,0.000,0.1
101,0.000,0.000,0.000,0.1
102,0.000,0.000,0.000,0.1
103,-0.342,0.000,0.000,0.1
104,-0.942,0.000,0.000,0.1
105,-1.314,0.000,0.000,0.1
106,-2.068,0.000,0.000,0.1
107,-2.662,0.000,0.000,0.1
108,-3.199,0.000,0.000,0.1
109,-3.566,0.000,0.000,0.1
110,-4.113,0.000,0.000,0.1
111,-4.345,0.000,0.000,0.1
112,-4.345,0.000,0.000,0.1
113,-4.345,0.000,0.000,0.1
114,-4.345,0.000,0.000,0.1
115,-4.345,0.000,0.000,0.1
116,-4.345,0.000,0.000,0.1
117,-4.345,0.000,0.000,0.1
118,-4.345,0.000,0.000,0.1
119,-4.345,0.000,0.000,0.1
120,-4.345,0.000,0.000,0.1
121,-4.345,0.000,0.000,0.1
122,-4.345,0.000,0.000,0.1
123,-4.345,0.000,0.000,0.1
124,-4.345,0.000,0.000,0.1
125,-4.345,0.000,0.000,0.1
126,-4.345,0.000,0.000,0.1
127,-4.345,0.000,0.000,0.1
128,-4.345,0.000,0.000,0.1
129,-4.345,0.000,0.000,0.1
130,-4.345,0.000,0.000,0.1
131,-4.345,0.000,0.000,0.1
132,-4.345,0.000,0.000,0.1
133,-4.345,0.000,0.000,0.1
134,-4.373,0.000,0.000,0.1
135,-4.824,0.000,0.000,0.1
136,-5.575,0.000,0.000,0.1
137,-6.214,0.000,0.000,0.1
138,-6.692,0.000,0.000,0.1
139,-6.956,0.000,0.000,0.1
140,-7.211,0.000,0.000,0.1
141,-7.427,0.000,0.000,0.1
142,-7.593,0.000,0.000,0.1
