---,X,Y,Z,T
0,0.000,0.000,0.000,0.1
1,0.000,0.000,0.000,0.1
2,0.000,0.000,355.072,0.1
3,0.000,0.000,355.836,0.1
4,0.000,0.000,354.874,0.1
5,0.000,0.000,353.936,0.1
6,0.000,0.000,354.104,0.1
7,0.000,0.000,353.981,0.1
8,0.000,0.000,353.122,0.1
9,0.000,0.000,353.104,0.1
10,0.000,0.000,352.190,0.1
11,0.000,0.000,351.789,0.1
12,0.000,0.000,351.103,0.1
13,0.015,-0.102,351.511,0.1
14,0.047,-0.319,351.891,0.1
15,0.078,-0.535,351.556,0.1
16,0.112,-0.754,350.684,0.1
17,0.141,-0.973,349.282,0.1
18,0.116,-1.188,341.202,0.1
19,0.089,-1.402,332.686,0.1
20,0.076,-1.597,325.801,0.1
21,0.074,-1.792,318.950,0.1
22,0.080,-1.988,312.525,0.1
23,0.098,-2.182,305.961,0.1
24,0.135,-2.394,298.112,0.1
25,0.185,-2.583,291.310,0.1
26,0.254,-2.765,284.680,0.1
27,0.338,-2.941,278.163,0.1
28,0.433,-3.135,271.062,0.1
29,0.532,-3.327,263.738,0.1
30,0.646,-3.511,256.938,0.1
31,0.740,-3.685,250.901,0.1
32,0.820,-3.888,244.450,0.1
33,0.910,-4.064,238.536,0.1
34,1.003,-4.262,231.993,0.1
35,1.049,-4.480,225.274,0.1
36,1.098,-4.700,219.330,0.1
37,1.142,-4.897,219.994,0.1
38,1.155,-5.116,221.098,0.1
39,1.143,-5.338,221.661,0.1
40,1.121,-5.537,221.976,0.1
41,1.083,-5.755,222.643,0.1
42,1.039,-5.950,223.306,0.1
43,0.987,-6.168,223.802,0.1
44,0.935,-6.382,224.032,0.1
45,0.886,-6.578,223.984,0.1
46,0.834,-6.792,223.827,0.1
47,0.777,-6.985,223.710,0.1
48,0.697,-7.191,223.605,0.1
49,0.596,-7.395,219.429,0.1
50,0.500,-7.600,212.730,0.1
51,0.417,-7.789,206.817,0.1
52,0.347,-8.004,201.116,0.1
53,0.281,-8.216,201.328,0.1
54,0.199,-8.423,201.456,0.1
55,0.126,-8.610,201.362,0.1
