---,X,Y,Z,T
0,0.000,0.000,0.000,0.1
1,0.000,0.000,0.000,0.1
2,0.000,0.000,353.309,0.1
3,0.000,0.000,353.046,0.1
4,0.000,0.000,352.885,0.1
5,0.000,0.000,352.724,0.1
6,0.000,0.000,352.881,0.1
7,0.000,0.000,352.708,0.1
8,0.000,0.002,348.002,0.1
9,-0.001,0.006,339.942,0.1
10,-0.002,0.010,331.166,0.1
11,0.005,0.002,321.955,0.1
12,0.079,-0.074,312.880,0.1
13,0.212,-0.180,305.763,0.1
14,0.310,-0.344,299.186,0.1
15,0.405,-0.515,293.101,0.1
16,0.514,-0.679,287.144,0.1
17,0.590,-0.778,282.074,0.1
18,0.590,-0.778,282.574,0.1
19,0.528,-0.763,282.868,0.1
20,0.313,-0.715,282.579,0.1
21,0.116,-0.670,282.978,0.1
22,-0.079,-0.625,283.238,0.1
23,-0.294,-0.573,283.684,0.1
24,-0.488,-0.525,284.035,0.1
25,-0.685,-0.477,281.806,0.1
26,-0.886,-0.443,278.034,0.1
27,-1.106,-0.410,278.633,0.1
28,-1.324,-0.377,278.661,0.1
29,-1.523,-0.348,278.288,0.1
30,-1.721,-0.319,278.127,0.1
31,-1.944,-0.290,275.777,0.1
32,-2.144,-0.272,275.651,0.1
33,-2.364,-0.248,276.534,0.1
34,-2.586,-0.222,276.613,0.1
35,-2.805,-0.197,276.675,0.1
36,-3.004,-0.173,276.565,0.1
37,-3.204,-0.151,276.481,0.1
38,-3.425,-0.126,276.469,0.1
39,-3.646,-0.101,275.279,0.1
40,-3.849,-0.093,270.916,0.1
41,-4.071,-0.088,271.417,0.1
42,-4.271,-0.082,271.991,0.1
43,-4.471,-0.074,272.167,0.1
44,-4.672,-0.067,272.087,0.1
45,-4.872,-0.060,272.002,0.1
46,-5.095,-0.052,271.947,0.1
47,-5.315,-0.044,271.947,0.1
48,-5.536,-0.036,272.123,0.1
49,-5.736,-0.029,272.117,0.1
50,-5.938,-0.022,271.589,0.1
51,-6.138,-0.017,271.566,0.1
52,-6.358,-0.011,271.521,0.1
53,-6.560,-0.006,271.497,0.1
54,-6.782,0.000,271.427,0.1
55,-7.002,0.005,271.318,0.1
56,-7.205,0.010,271.245,0.1
57,-7.426,0.015,271.279,0.1
58,-7.627,0.019,271.221,0.1
