---,X,Y,Z,T
162,-0.700,-18.959,259.850,0.1
163,-0.719,-18.858,259.937,0.1
164,-0.753,-18.660,260.054,0.1
165,-0.788,-18.441,260.117,0.1
166,-0.823,-18.222,260.085,0.1
167,-0.853,-18.023,259.888,0.1
168,-0.887,-17.803,259.617,0.1
169,-0.896,-17.583,259.332,0.1
170,-0.886,-17.380,259.101,0.1
171,-0.875,-17.159,258.878,0.1
172,-0.865,-16.937,254.464,0.1
173,-0.879,-16.718,247.523,0.1
174,-0.906,-16.499,240.427,0.1
175,-0.891,-16.302,234.506,0.1
176,-0.800,-16.100,234.166,0.1
177,-0.699,-15.927,233.766,0.1
178,-0.589,-15.760,233.640,0.1
179,-0.454,-15.615,233.431,0.1
180,-0.273,-15.488,233.088,0.1
181,-0.081,-15.423,232.921,0.1
182,0.137,-15.390,232.911,0.1
183,0.356,-15.356,232.825,0.1
184,0.575,-15.321,232.777,0.1
185,0.752,-15.256,232.846,0.1
186,0.831,-15.165,232.859,0.1
187,0.815,-15.000,231.746,0.1
188,0.743,-14.815,225.659,0.1
189,0.611,-14.641,218.859,0.1
190,0.466,-14.506,212.609,0.1
191,0.292,-14.370,211.320,0.1
192,0.132,-14.247,211.143,0.1
193,-0.056,-14.130,210.334,0.1
194,-0.231,-14.037,203.572,0.1
195,-0.415,-13.967,198.282,0.1
196,-0.625,-13.900,197.133,0.1
197,-0.788,-13.851,195.793,0.1
198,-0.791,-13.850,193.942,0.1
199,-0.795,-13.855,192.299,0.1
200,-0.900,-13.967,190.897,0.1
201,-1.081,-14.087,189.922,0.1
202,-1.275,-14.194,189.186,0.1
203,-1.468,-14.305,188.444,0.1
204,-1.558,-14.430,187.498,0.1
205,-1.580,-14.539,186.496,0.1
206,-1.590,-14.639,185.463,0.1
207,-1.599,-14.740,184.443,0.1
208,-1.607,-14.852,184.125,0.1
209,-1.614,-14.950,184.134,0.1
210,-1.614,-15.055,184.455,0.1
211,-1.596,-15.153,186.013,0.1
212,-1.553,-15.266,187.660,0.1
213,-1.488,-15.379,188.597,0.1
214,-1.413,-15.518,189.554,0.1
215,-1.347,-15.644,190.397,0.1
216,-1.282,-15.773,191.158,0.1
217,-1.226,-15.912,193.018,0.1
218,-1.185,-16.050,195.854,0.1
219,-1.172,-16.161,198.006,0.1
220,-1.179,-16.185,199.676,0.1
221,-1.179,-16.185,200.259,0.1
222,-1.179,-16.185,200.111,0.1
223,-1.151,-16.197,200.396,0.1
224,-1.065,-16.264,204.486,0.1
225,-0.989,-16.335,204.426,0.1
226,-0.915,-16.406,204.428,0.1
227,-0.857,-16.478,204.811,0.1
228,-0.836,-16.537,205.524,0.1
229,-0.815,-16.602,205.924,0.1
230,-0.803,-16.683,206.358,0.1
231,-0.801,-16.798,207.441,0.1
232,-0.799,-16.912,207.817,0.1
233,-0.799,-17.017,208.220,0.1
234,-0.798,-17.133,208.569,0.1
235,-0.800,-17.253,212.790,0.1
236,-0.772,-17.409,218.836,0.1
237,-0.726,-17.596,219.650,0.1
238,-0.678,-17.800,220.992,0.1
239,-0.660,-17.985,227.916,0.1
240,-0.659,-18.181,234.421,0.1
241,-0.677,-18.402,241.142,0.1
242,-0.717,-18.601,247.210,0.1
243,-0.777,-18.796,253.244,0.1
244,-0.858,-19.003,255.951,0.1
245,-0.937,-19.211,255.663,0.1
246,-1.021,-19.418,258.276,0.1
247,-1.125,-19.617,263.236,0.1
248,-1.234,-19.808,263.680,0.1
249,-1.329,-19.985,262.900,0.1
250,-1.425,-20.162,264.090,0.1
251,-1.535,-20.329,269.456,0.1
252,-1.657,-20.489,271.823,0.1
253,-1.742,-20.665,271.306,0.1
254,-1.747,-20.885,271.566,0.1
255,-1.751,-21.084,277.135,0.1
256,-1.742,-21.299,282.304,0.1
257,-1.739,-21.495,286.501,0.1
258,-1.742,-21.718,286.699,0.1
259,-1.741,-21.918,286.279,0.1
260,-1.738,-22.138,286.634,0.1
261,-1.739,-22.360,287.592,0.1
262,-1.743,-22.561,288.147,0.1
263,-1.741,-22.771,288.803,0.1
264,-1.720,-22.897,289.558,0.1
265,-1.676,-23.041,290.706,0.1
266,-1.652,-23.088,291.565,0.1
267,-1.652,-23.088,291.646,0.1
268,-1.652,-23.088,291.497,0.1
269,-1.658,-23.120,291.379,0.1
270,-1.686,-23.337,291.601,0.1
271,-1.712,-23.537,292.046,0.1
272,-1.736,-23.755,294.149,0.1
273,-1.756,-23.950,301.081,0.1
274,-1.773,-24.146,307.988,0.1
275,-1.741,-24.337,314.613,0.1
276,-1.667,-24.543,316.886,0.1
277,-1.581,-24.724,317.142,0.1
278,-1.496,-24.922,322.254,0.1
279,-1.461,-25.113,328.095,0.1
280,-1.562,-25.305,328.855,0.1
281,-1.733,-25.445,328.942,0.1
282,-1.914,-25.574,329.109,0.1
283,-2.081,-25.685,329.338,0.1
284,-2.161,-25.733,329.563,0.1
285,-2.161,-25.733,329.936,0.1
286,-2.162,-25.727,335.659,0.1
287,-2.216,-25.676,340.983,0.1
288,-2.294,-25.546,340.894,0.1
289,-2.297,-25.366,340.851,0.1
290,-2.299,-25.187,340.902,0.1
291,-2.300,-24.998,340.933,0.1
292,-2.300,-24.787,340.844,0.1
293,-2.300,-24.579,340.775,0.1
294,-2.300,-24.390,340.872,0.1
295,-2.300,-24.200,341.036,0.1
296,-2.300,-24.008,341.171,0.1
297,-2.300,-23.798,341.173,0.1
298,-2.300,-23.608,341.149,0.1
299,-2.297,-23.392,341.057,0.1
300,-2.228,-23.274,340.959,0.1
301,-2.151,-23.095,340.908,0.1
302,-2.126,-22.895,340.813,0.1
303,-2.101,-22.695,340.529,0.1
304,-2.083,-22.479,335.050,0.1
305,-2.091,-22.264,327.839,0.1
306,-2.123,-22.070,321.086,0.1
307,-2.179,-21.882,313.492,0.1
308,-2.277,-21.692,305.184,0.1
309,-2.392,-21.533,298.383,0.1
310,-2.540,-21.373,291.249,0.1
311,-2.706,-21.233,285.789,0.1
312,-2.874,-21.124,285.020,0.1
313,-3.062,-21.007,283.646,0.1
314,-3.236,-20.907,281.086,0.1
315,-3.416,-20.817,277.620,0.1
316,-3.620,-20.728,275.273,0.1
317,-3.823,-20.642,275.249,0.1
318,-3.999,-20.547,275.341,0.1
319,-4.143,-20.411,275.239,0.1
320,-4.201,-20.235,275.005,0.1
321,-4.192,-20.022,274.343,0.1
322,-4.153,-19.826,273.837,0.1
323,-4.033,-19.666,273.541,0.1
324,-3.854,-19.538,273.359,0.1
325,-3.673,-19.451,272.795,0.1
326,-3.468,-19.366,272.470,0.1
327,-3.262,-19.281,275.191,0.1
328,-3.070,-19.216,283.193,0.1
329,-2.882,-19.138,291.875,0.1
330,-2.723,-18.978,301.220,0.1
331,-2.592,-18.793,309.805,0.1
332,-2.467,-18.630,316.778,0.1
333,-2.368,-18.449,323.892,0.1
334,-2.286,-18.237,331.837,0.1
335,-2.225,-18.040,338.555,0.1
336,-2.166,-17.840,345.344,0.1
337,-2.119,-17.616,352.444,0.1
338,-2.118,-17.391,356.804,0.1
339,-2.130,-17.189,356.483,0.1
340,-2.144,-16.970,356.619,0.1
341,-2.153,-16.747,357.229,0.1
342,-2.162,-16.526,358.067,0.1
343,-2.167,-16.304,359.352,0.1
344,-2.142,-16.106,0.444,0.1
345,-2.073,-15.895,2.247,0.1
346,-1.994,-15.712,4.769,0.1
347,-1.898,-15.509,5.654,0.1
348,-1.805,-15.309,4.894,0.1
349,-1.723,-15.125,3.677,0.1
350,-1.637,-14.920,2.878,0.1
351,-1.554,-14.716,2.654,0.1
352,-1.488,-14.527,2.710,0.1
